name,price,profit
Share-DUPH,10.01,12.25
Share-GTAN,26.04,38.06
Share-USUF,9.25,27.69
Share-CFOZ,10.64,38.21
Share-QLRX,15.72,27.47
Share-XJDT,0.0,37.11
Share-HKFP,23.97,19.66
Share-PPPH,24.06,38.2
Share-HLJY,26.98,5.54
Share-YKBD,0.0,22.75
Share-CTCR,16.6,12.4
Share-LMJG,16.54,29.82
Share-IGUH,19.13,14.3
Share-VIRY,31.94,1.84
Share-PYDS,34.9,30.69
Share-SOOE,23.09,38.04
Share-NOIQ,24.08,36.81
Share-QUXB,36.97,36.08
Share-SJNY,24.61,17.43
Share-CQYF,26.26,0.65
Share-XJSP,42.08,3.03
Share-YNWM,9.94,28.25
Share-KTGN,6.41,25.37
Share-KWZO,41.42,1.19
Share-BVMS,27.84,4.51
Share-DAPD,8.47,6.66
Share-TVRM,31.06,6.63
Share-EIYB,11.49,37.74
Share-NNGR,43.15,15.09
Share-XWRU,28.6,23.37
Share-YEZB,17.15,30.28
Share-AQHE,7.8,5.36
Share-IJAW,0.0,30.69
Share-SEBO,35.85,14.79
Share-MWTE,0.0,18.37
Share-ZWIY,18.36,11.91
Share-BAOJ,38.2,28.36
Share-GKWN,16.01,33.52
Share-UZPA,27.49,4.4
Share-HODN,34.8,7.29
Share-HRDA,27.45,33.65
Share-ZRWP,25.99,6.72
Share-JWSN,23.24,7.28
Share-RLHB,38.23,4.46
Share-FFBY,22.05,11.41
Share-FTYF,9.56,31.54
Share-KNZG,14.86,13.8
Share-QPSA,28.95,29.9
Share-JMGY,28.8,3.11
Share-KWDY,26.04,37.89
Share-OWCV,30.21,0.74
Share-HUIT,36.37,17.87
Share-MSKF,19.76,3.64
Share-GFJZ,34.57,26.08
Share-IKZL,41.63,18.98
Share-BLKR,45.91,15.19
Share-INSV,32.9,34.47
Share-VBXG,30.23,35.48
Share-LTLT,28.67,16.65
Share-JTQE,33.07,30.91
Share-OHTK,7.76,15.36
Share-XBOW,30.98,8.13
Share-PKFS,19.16,25.16
Share-BQZO,25.92,0.02
Share-MCUJ,12.51,3.65
Share-TTXF,20.12,37.0
Share-CZZS,27.26,31.2
Share-BGRQ,25.39,11.63
Share-SVAM,18.37,18.91
Share-IYAT,14.95,19.52
Share-NNSM,12.03,32.13
Share-VLWV,3.7,3.85
Share-XSSB,22.12,38.25
Share-CIIX,1.41,18.22
Share-SJAK,33.2,12.93
Share-CEBR,45.89,0.04
Share-CLIJ,33.15,23.23
Share-XRVK,47.49,2.85
Share-OOUK,36.53,12.05
Share-ZBMZ,31.3,34.14
Share-KVDA,25.11,13.91
Share-PARA,14.33,1.54
Share-TNBA,23.58,35.62
Share-CSQA,2.71,8.5
Share-HKEJ,15.19,16.62
Share-AOLT,48.53,36.44
Share-YRVP,21.91,10.98
Share-IPGW,17.24,15.29
Share-IYEW,38.32,36.79
Share-WZHT,36.02,24.81
Share-FAHD,47.39,4.52
Share-EFHD,25.31,19.81
Share-IQHP,41.0,32.06
Share-XOQL,18.72,15.03
Share-CZAX,38.05,30.64
Share-UVZJ,0.0,26.26
Share-RUFN,10.88,37.03
Share-ZIGX,41.52,13.39
Share-KMOP,25.25,33.24
Share-VTYP,13.68,31.22
Share-WENI,27.11,34.87
Share-YEYF,49.1,24.88
Share-EKHU,47.13,35.03
Share-JPLU,10.72,29.16
Share-CVKQ,27.89,6.06
Share-TFNF,38.63,33.34
Share-LRYZ,32.77,38.16
Share-SUDI,38.72,25.01
Share-GFBR,22.19,21.05
Share-ELHS,36.47,1.05
Share-BOET,0.0,37.01
Share-PFOA,8.54,19.08
Share-HRKX,14.09,33.42
Share-DEMQ,19.25,35.29
Share-MONJ,10.67,7.47
Share-XQOA,18.65,2.68
Share-RZCS,36.45,12.78
Share-DAPQ,21.36,19.57
Share-OUGA,8.99,7.35
Share-BCVC,20.69,33.51
Share-BHXC,41.14,19.5
Share-NTBS,24.42,10.33
Share-WVBR,25.11,2.9
Share-GCEX,0.0,34.72
Share-RBJP,12.54,11.82
Share-QNMW,10.16,11.13
Share-FLLX,2.35,4.74
Share-MHMX,19.48,26.47
Share-DAWU,7.4,5.24
Share-ETOR,12.33,7.35
Share-GVVO,2.22,28.52
Share-SPAR,42.66,10.72
Share-DWQL,0.0,19.69
Share-IFCP,29.23,39.88
Share-WYAL,42.12,15.21
Share-OFZD,31.48,13.78
Share-KLCJ,13.75,18.04
Share-JNUW,30.61,17.58
Share-SHFZ,32.79,27.62
Share-CYLT,33.73,24.2
Share-JHLP,42.97,37.12
Share-DLGZ,34.71,33.88
Share-COUC,20.99,5.93
Share-ATAE,16.58,24.47
Share-FTJN,27.52,16.79
Share-WTPW,19.89,25.23
Share-HITN,0.67,33.49
Share-ADLV,18.9,4.72
Share-CWIL,46.2,1.19
Share-VBQT,25.73,35.61
Share-XQQA,26.78,9.35
Share-QSOQ,30.15,0.71
Share-WIWE,10.65,8.88
Share-FRBU,30.13,9.56
Share-IYKD,1.08,13.02
Share-EPCT,3.91,15.96
Share-JIZL,48.75,4.23
Share-ACQS,32.62,1.61
Share-YUTW,16.28,35.71
Share-YHEL,2.51,10.08
Share-HPSH,19.77,33.17
Share-NVXL,25.66,19.29
Share-ZFQR,21.74,38.74
Share-GYNX,30.96,38.27
Share-XXLC,45.12,14.14
Share-TLJJ,28.65,13.75
Share-RUPP,40.98,5.4
Share-SXZH,39.35,8.81
Share-DSHU,23.12,29.08
Share-OLUI,30.68,27.29
Share-FXZS,0.0,30.03
Share-SFMP,9.48,17.94
Share-VVDF,5.12,25.56
